epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.1768888235092163,0.0010000000474974513,1.795750617980957,0.2721875011920929,1.790421962738037
1,0.43104928731918335,0.0010000000474974513,1.3498413562774658,0.7850000262260437,0.6431372165679932
2,0.7927181720733643,0.0010000000474974513,0.5501606464385986,0.8721874952316284,0.40302547812461853
3,0.8528010249137878,0.0010000000474974513,0.39385244250297546,0.8806250095367432,0.38938385248184204
4,0.880850076675415,0.0010000000474974513,0.3112393319606781,0.9056249856948853,0.2678418457508087
5,0.8990545868873596,0.0010000000474974513,0.2521737813949585,0.917187511920929,0.21510596573352814
6,0.904133141040802,0.0010000000474974513,0.23023946583271027,0.9175000190734863,0.2409389168024063
7,0.9150714874267578,0.0010000000474974513,0.19751308858394623,0.917187511920929,0.20057861506938934
8,0.9227283596992493,0.0010000000474974513,0.18442749977111816,0.9212499856948853,0.18777601420879364
9,0.9228845834732056,0.0010000000474974513,0.17187118530273438,0.9240624904632568,0.16620902717113495
